posted_time,location,post_title,bedroom_no,sqft,url,price
2024-10-30,Atlanta,Emory/Atlanta Spacious 2 Bedroom!,2,,https://atlanta.craigslist.org/atl/apa/d/atlanta-emory-atlanta-spacious-bedroom/7793961730.html,1785.0
2024-10-30,Decatur,Emory/Decatur! Big 2 Bedroom!,2,,https://atlanta.craigslist.org/atl/apa/d/decatur-emory-decatur-big-bedroom/7795087333.html,1790.0
2024-10-30,"171 Auburn Ave NE, Atlanta, GA","Situated in Atlanta!, Short Term Leases, 1/bd",1,744,https://atlanta.craigslist.org/atl/apa/d/atlanta-situated-in-atlanta-short-term/7793505083.html,1440.0
2024-10-30,Newnan,"Comfortable living. Conveniently located, spacious 1 bed 1 bath!",1,700,https://atlanta.craigslist.org/sat/apa/d/newnan-comfortable-living-conveniently/7790135041.html,1050.0
2024-10-30,Buckhead Atlanta @ The Eclipse,PRIME 14th floor 1 Bedroom corner condo @ The Eclipse in Buckhead!,1,800,https://atlanta.craigslist.org/atl/apa/d/atlanta-prime-14th-floor-bedroom-corner/7798005893.html,1950.0
2024-10-30,Jonesboro - 20 Minute Drive to Ferns of the World Garden,"Abundant space in your new 2 bed 2 bath, along with washer and dryer",2,1200,https://atlanta.craigslist.org/sat/apa/d/riverdale-abundant-space-in-your-new/7789787404.html,
2024-10-30,"100 Noble Creek Dr NW, Atlanta, GA","Vaulted Ceilings, Onsite Management and Maintenance, Gas Range",2,1373,https://atlanta.craigslist.org/nat/apa/d/atlanta-vaulted-ceilings-onsite/7791683033.html,1738.0
2024-10-30,Lawrenceville,1 BR / 1 BA great for pets! Pet-Friendly Community in Lawrenceville,1,700,https://atlanta.craigslist.org/nat/apa/d/grayson-br-ba-great-for-pets-pet/7791561752.html,1124.0
2024-10-30,"2800 Herrington Woods Ct, Lawrenceville, GA","Gourmet Kitchens, Sundeck, Sparkling Swimming Pool",4,1472,https://atlanta.craigslist.org/nat/apa/d/lawrenceville-gourmet-kitchens-sundeck/7795646936.html,2291.0
2024-10-30,Snellville - Near Centerville Crossing,"Clean and spacious 884 Sq Ft, 1 BR / 1 BA with gorgeous views",1,884,https://atlanta.craigslist.org/eat/apa/d/snellville-clean-and-spacious-884-sq-ft/7795665895.html,1244.0
2024-10-30,"171 Auburn Ave NE, Atlanta, GA","Short Term Leases, Pets Allowed, Pool",2,1091,https://atlanta.craigslist.org/atl/apa/d/atlanta-short-term-leases-pets-allowed/7789964871.html,1895.0
2024-10-30,"5451 Ledford Dr Austell, GA `","This 1567 sq ft 3 bed, 2 bath is impressive! (Austell)",3,1567,https://atlanta.craigslist.org/atl/apa/d/austell-this-1567-sq-ft-bed-bath-is/7797990090.html,1020.0
2024-10-30,city of atlanta,Stunning affordable apartment in Atlanta,1,,https://atlanta.craigslist.org/atl/apa/d/atlanta-stunning-affordable-apartment/7797993411.html,1348.0
2024-10-30,"100 Noble Creek Dr NW, Atlanta, GA","Onsite Management and Maintenance, Large Closets, Playground",2,1373,https://atlanta.craigslist.org/nat/apa/d/atlanta-onsite-management-and/7792738514.html,1628.0
2024-10-30,city of atlanta,Affordable two bedroom in Piedmont Heights,2,,https://atlanta.craigslist.org/atl/apa/d/atlanta-affordable-two-bedroom-in/7797995849.html,1699.0
2024-10-30,Covington,Unveiling a haven of style: Your perfect 2 BR awaits.,2,1316,https://atlanta.craigslist.org/eat/apa/d/covington-unveiling-haven-of-style-your/7797184622.html,1315.0
2024-10-30,city of atlanta,Near Georgia State University,2,,https://atlanta.craigslist.org/atl/apa/d/atlanta-near-georgia-state-university/7797993187.html,1664.0
2024-10-30,Atlanta - 20 Minute Drive to Cascade Springs Nature Preserve,Spacious and elegant! You've found your ideal 1 bed / 1.5 bath!,1,1150,https://atlanta.craigslist.org/sat/apa/d/atlanta-spacious-and-elegant-youve/7793943397.html,
2024-10-30,Atlanta,Fully carpeted comfortable floorplans at Brookside Park Apartments,2,1119,https://atlanta.craigslist.org/atl/apa/d/atlanta-fully-carpeted-comfortable/7796804387.html,1320.0
2024-10-30,Morrow - 20 Minutes from Ferns of the World Garden,"FREE RENT SPECIAL! 3 Bed, 2.5 Bath, 1521 Sq Ft",3,1521,https://atlanta.craigslist.org/sat/apa/d/morrow-free-rent-special-bed-25-bath/7793196117.html,1466.0
2024-10-30,Riverdale,"Just what you wanted! A great 1 bed, 1 bath in Riverdale",1,860,https://atlanta.craigslist.org/sat/apa/d/riverdale-just-what-you-wanted-great/7796092185.html,1136.0
2024-10-30,Alpharetta,The bus line’s nearby at IMT Stoneleigh at Deerfield! Great for commut,3,1402,https://atlanta.craigslist.org/nat/apa/d/alpharetta-the-bus-lines-nearby-at-imt/7796384412.html,2320.0
2024-10-30,Newnan,"Great space for every taste. You'll love our 2 bed, 2.5 bath townhome!",2,1244,https://atlanta.craigslist.org/sat/apa/d/newnan-great-space-for-every-taste/7796093540.html,1298.0
2024-10-30,Stone Mountain - Stone Mountain,"Magnificent landscaping at Wildwood At Stone Mountain. 2 BR, 1 BA avai",2,972,https://atlanta.craigslist.org/nat/apa/d/pine-lake-magnificent-landscaping-at/7796800294.html,1251.0
2024-10-30,Stone Mountain - Stone Mountain,Ready to lease! Beautifully designed 2 bed 2.5 bath apartment,2,1354,https://atlanta.craigslist.org/eat/apa/d/pine-lake-ready-to-lease-beautifully/7795653282.html,
